word,definition,simplified_definition
accessible,open to the influence of ;     with to . ,when something is accessible it means anyone can use it or get it very easily . 
accessible,open to the influence of ;     with to . ,when something is accessible it means anyone can use it or get it very easily . 
accommodate,  as to accommodate a friend with a loan or with lodgings . ,you accommodate when you change something that fixes an existing problem .  
accommodate,  as to accommodate a friend with a loan or with lodgings . ,you accommodate when you change something that fixes an existing problem .  
accomplish,to gain ;  to obtain . ,if you accomplish something  .   you succeed in doing it . 
accomplish,to gain ;  to obtain . ,if you accomplish something  .   you succeed in doing it . 
achieve,to finish ,if you achieve something  .   you succeed in doing it or cause it to happen by working really hard . 
achieve,to finish ,if you achieve something  .   you succeed in doing it or cause it to happen by working really hard . 
acre,any field of arable or pasture land . ,an acre is a very large area of land about the size of a football field .  
acre,any field of arable or pasture land . ,an acre is a very large area of land about the size of a football field .  
adapt,fitted ,when a plant or animal has adapted to a place it means it can live in that place well . 
adapt,fitted ,when a plant or animal has adapted to a place it means it can live in that place well . 
alter,  to change in some respect  either partially or wholly ,when something has been changed from what it used to be  .   you say it has been altered . 
alter,  to change in some respect  either partially or wholly ,when something has been changed from what it used to be  .   you say it has been altered . 
amount,     with to or unto . ,the amount of something is how much there is of it . 
amount,     with to or unto . ,the amount of something is how much there is of it . 
analyze,to subject to analysis ;  to resolve  into its elements ;  to separate into the constituent parts  for the purpose of an examination of each separately ;  to examine in such a manner as to ascertain the elements or nature of the thing examined ;  as to analyze a fossil substance ;  to analyze a sentence or a word ;  to analyze an action to ascertain its morality . ,if you analyze something  .   you look at each part to make sure it all fits together and makes sense .  
analyze,to subject to analysis ;  to resolve  into its elements ;  to separate into the constituent parts  for the purpose of an examination of each separately ;  to examine in such a manner as to ascertain the elements or nature of the thing examined ;  as to analyze a fossil substance ;  to analyze a sentence or a word ;  to analyze an action to ascertain its morality . ,if you analyze something  .   you look at each part to make sure it all fits together and makes sense .  
anchor,  as  to anchor a ship . ,if an object is anchored  .   it is tied or connected to something that keeps it from moving around . 
anchor,  as  to anchor a ship . ,if an object is anchored  .   it is tied or connected to something that keeps it from moving around . 
appreciate,to set a price or value on ;  to estimate justly ;  to value . ,if you appreciate a thing  .   you understand why it is good or important . 
appreciate,to set a price or value on ;  to estimate justly ;  to value . ,if you appreciate a thing  .   you understand why it is good or important . 
area,any plane surface  as of the floor of a room or church or of the ground within an inclosure ,an area is a piece of land that is used for a specific activity . 
area,any plane surface  as of the floor of a room or church or of the ground within an inclosure ,an area is a piece of land that is used for a specific activity . 
argue,to persuade by reasons ;  as  to argue a man into a different opinion . ,if someone argues with another person  .   they speak loudly to each other about something they disagree on . 
argue,to persuade by reasons ;  as  to argue a man into a different opinion . ,if someone argues with another person  .   they speak loudly to each other about something they disagree on . 
arrange,  as  to arrange the preliminaries of an undertaking . ,if you arrange things  .   you put them in a place or location . 
arrange,  as  to arrange the preliminaries of an undertaking . ,if you arrange things  .   you put them in a place or location . 
arrangement,  as  arrangement of ones dress ,when you make an arrangement you agree with someone that you will get something done . 
arrangement,  as  arrangement of ones dress ,when you make an arrangement you agree with someone that you will get something done . 
articulate,  consisting of segments united by joints ,when you articulate your ideas or feelings  .   you use words to say them out loud . 
articulate,  consisting of segments united by joints ,when you articulate your ideas or feelings  .   you use words to say them out loud . 
assess,to value ;  to make a valuation or official estimate of for the purpose of taxation . ,when you assess a person or thing  .   you think carefully about them in order to make an opinion about them . 
assess,to value ;  to make a valuation or official estimate of for the purpose of taxation . ,when you assess a person or thing  .   you think carefully about them in order to make an opinion about them . 
barrier,an any obstruction ,a barrier does not allow something to move from one place to the other
barrier,an any obstruction ,a barrier does not allow something to move from one place to the other
blame,  to find fault with ,when you blame a person or thing for something bad  .   you are saying they did this bad thing or caused it to happen . 
blame,  to find fault with ,when you blame a person or thing for something bad  .   you are saying they did this bad thing or caused it to happen . 
bounce,a heavy  sudden and often noisy blow or thump . ,when something bounces  .   it moves up and down  .   again and again . 
bounce,a heavy  sudden and often noisy blow or thump . ,when something bounces  .   it moves up and down  .   again and again . 
buffer,one who polishes with a buff . ,a buffer protects something from getting hurt or stops two things from hurting each other . 
buffer,one who polishes with a buff . ,a buffer protects something from getting hurt or stops two things from hurting each other . 
build,  general figure ,if you build something  .   you put different items together to make something new . 
build,  general figure ,if you build something  .   you put different items together to make something new . 
calculate,  to forecast or compute the character or consequences of ,if you calculate a number or amount  .   you find the answer from information that you already learned in math . 
calculate,  to forecast or compute the character or consequences of ,if you calculate a number or amount  .   you find the answer from information that you already learned in math . 
capture,  prey . ,when you capture someone or something  .   you catch them and dont let them leave or wont let go . 
capture,  prey . ,when you capture someone or something  .   you catch them and dont let them leave or wont let go . 
chant,to sing  as in reciting a chant . ,a chant is made up of words that you say over and over again
chant,to sing  as in reciting a chant . ,a chant is made up of words that you say over and over again
check,checkered ;  designed in checks . ,if you check something  .   you make sure that it is correct . 
check,checkered ;  designed in checks . ,if you check something  .   you make sure that it is correct . 
choose,to do otherwise . ,if you choose something from several things that are available  .   you pick the one you really want to have . 
choose,to do otherwise . ,if you choose something from several things that are available  .   you pick the one you really want to have . 
civil,  courteous ,someone who is civil is nice to you but not friendly . 
civil,  courteous ,someone who is civil is nice to you but not friendly . 
combine,to unite by affinity or natural attraction ,if you combine things  .   you put them together . 
combine,to unite by affinity or natural attraction ,if you combine things  .   you put them together . 
